PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,40000.0,4.6020599913279625
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,20000.0,4.301029995663981
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,10000.0,4.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,5000.0,3.6989700043360187
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Lentic ,,16.0,1.2041199826559248
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Lentic ,,1.0,0.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Lentic ,,0.060000000000000005,-1.2218487496163564
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,0.5569999999999999,-0.25414480482627116
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,0.934,-0.029653123769906618
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,100.0,2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,100.0,2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,100.0,2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,10.0,1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,10.0,1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,10.0,1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,100.0,2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,10.0,1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Brain,Lentic ,,12.8,1.1072099696478683
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,0.934,-0.029653123769906618
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Brain,Lentic ,,12.8,1.1072099696478683
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,0.5569999999999999,-0.25414480482627116
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Renewal,,0.5569999999999999,-0.25414480482627116
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Scud,Other,2,0,Tissue,Static,,0.11,-0.958607314841775
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Scud,Other,2,0,Tissue,Static,,0.11,-0.958607314841775
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Scud,Other,2,0,Tissue,Static,,0.11,-0.958607314841775
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Scud,Other,2,0,Tissue,Static,,0.11,-0.958607314841775
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Scud,Other,2,0,Tissue,Static,,0.11,-0.958607314841775
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Whole organism,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Whole organism,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Whole organism,Renewal,,16000.0,4.204119982655925
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Multiple entries,Renewal,,100.2,2.0008677215312267
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Multiple entries,Renewal,,99.6,1.9982593384236986
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Nile Tilapia,Other,2,0,Multiple entries,Food,,5000000.0,6.698970004336019
