PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,is_fish,is_mammal,is_plant,is_human,PFAS_Class_encoded,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration,BCF,log_BCF,Study Year
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,10.0,1.0,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Shoot,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Jointed Twig-Rush,Other,2,0,0,0,0,0,1.0,Whole organism,Hydroponic,,30.0,1.4771212547196624,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Stem,Hydroponic,,15000.0,4.176091259055681,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Stem,Hydroponic,,1000.0,3.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,15000.0,4.176091259055681,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,1000.0,3.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,1000.0,3.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,15000.0,4.176091259055681,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,1000.0,3.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,15000.0,4.176091259055681,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,15000.0,4.176091259055681,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,1000.0,3.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Stem,Hydroponic,,15000.0,4.176091259055681,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Stem,Hydroponic,,1000.0,3.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,5000.0,3.6989700043360187,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,10000.0,4.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,5000.0,3.6989700043360187,,,2023
